Date,EUR1M BGN Curncy
2014-05-02,1.386786
2014-05-05,1.387388
2014-05-06,1.392658
2014-05-07,1.39087
2014-05-08,1.383848
2014-05-09,1.375635
2014-05-12,1.375546
2014-05-13,1.370278
2014-05-14,1.37138
2014-05-15,1.370885
2014-05-16,1.369293
2014-05-19,1.370784
2014-05-20,1.370086
2014-05-21,1.368574
2014-05-22,1.365483
2014-05-23,1.362795
2014-05-26,1.364505
2014-05-27,1.363462
2014-05-28,1.359039
2014-05-29,1.360125
2014-05-30,1.36342
2014-06-02,1.359633
2014-06-03,1.362746
2014-06-04,1.35988
2014-06-05,1.36604
2014-06-06,1.364336
2014-06-09,1.359422
2014-06-10,1.354737
2014-06-11,1.353288
2014-06-12,1.355361
2014-06-13,1.35418
2014-06-16,1.357622
2014-06-17,1.354907
2014-06-18,1.359688
2014-06-19,1.360958
2014-06-20,1.360113
2014-06-23,1.360619
2014-06-24,1.360752
2014-06-25,1.36305
2014-06-26,1.361342
2014-06-27,1.365053
2014-06-30,1.369368
2014-07-01,1.368066
2014-07-02,1.366168
2014-07-03,1.361165
2014-07-04,1.359666
2014-07-07,1.360679
2014-07-08,1.361373
2014-07-09,1.364373
2014-07-10,1.361073
2014-07-11,1.360972
2014-07-14,1.362074
2014-07-15,1.356974
2014-07-16,1.352672
2014-07-17,1.352776
2014-07-18,1.352559
2014-07-21,1.352566
2014-07-22,1.346733
2014-07-23,1.346512
2014-07-24,1.34651
2014-07-25,1.343138
2014-07-28,1.344126
2014-07-29,1.341039
2014-07-30,1.339833
2014-07-31,1.339128
2014-08-01,1.342837
2014-08-04,1.342343
2014-08-05,1.337761
2014-08-06,1.33846
2014-08-07,1.336549
2014-08-08,1.341155
2014-08-11,1.338676
2014-08-12,1.337084
2014-08-13,1.336568
2014-08-14,1.336686
2014-08-15,1.340288
2014-08-18,1.336623
2014-08-19,1.332217
2014-08-20,1.326114
2014-08-21,1.328299
2014-08-22,1.324398
2014-08-25,1.31941
2014-08-26,1.316914
2014-08-27,1.319524
2014-08-28,1.318414
2014-08-29,1.313419
2014-09-01,1.31303
2014-09-02,1.313545
2014-09-03,1.315244
2014-09-04,1.294724
2014-09-05,1.295415
2014-09-08,1.28982
2014-09-09,1.294018
2014-09-10,1.292013
2014-09-11,1.292803
2014-09-12,1.296589
2014-09-15,1.294297
2014-09-16,1.296325
2014-09-17,1.286805
2014-09-18,1.292563
2014-09-19,1.283166
2014-09-22,1.285162
2014-09-23,1.284943
2014-09-24,1.278242
2014-09-25,1.275314
2014-09-26,1.268623
2014-09-29,1.268781
2014-09-30,1.263358
2014-10-01,1.262556
2014-10-02,1.267156
2014-10-03,1.251857
2014-10-06,1.265782
2014-10-07,1.267165
2014-10-08,1.273657
2014-10-09,1.269365
2014-10-10,1.263077
2014-10-13,1.275494
2014-10-14,1.26609
2014-10-15,1.284083
2014-10-16,1.281178
2014-10-17,1.27637
2014-10-20,1.280283
2014-10-21,1.27185
2014-10-22,1.265148
2014-10-23,1.264848
2014-10-24,1.267327
2014-10-27,1.270012
2014-10-28,1.273617
2014-10-29,1.263419
2014-10-30,1.261537
2014-10-31,1.252739
2014-11-03,1.248441
2014-11-04,1.254863
2014-11-05,1.248864
2014-11-06,1.237768
2014-11-07,1.245767
2014-11-10,1.242354
2014-11-11,1.247763
2014-11-12,1.244067
2014-11-13,1.247963
2014-11-14,1.25276
2014-11-17,1.245263
2014-11-18,1.253889
2014-11-19,1.255699
2014-11-20,1.254192
2014-11-21,1.239416
2014-11-24,1.244497
2014-11-25,1.247668
2014-11-26,1.250878
2014-11-27,1.246896
2014-11-28,1.245397
2014-12-01,1.247239
2014-12-02,1.238545
2014-12-03,1.231337
2014-12-04,1.238128
2014-12-05,1.228525
2014-12-08,1.231948
2014-12-09,1.237642
2014-12-10,1.245005
2014-12-11,1.241333
2014-12-12,1.246461
2014-12-15,1.244029
2014-12-16,1.251444
2014-12-17,1.234597
2014-12-18,1.229021
2014-12-19,1.223299
2014-12-22,1.223426
2014-12-23,1.217605
2014-12-24,1.220015
2014-12-25,1.222912
2014-12-26,1.218713
2014-12-29,1.215608
2014-12-30,1.21599
2014-12-31,1.210198
2015-01-01,1.210791
2015-01-02,1.200581
2015-01-05,1.193678
2015-01-06,1.189357
2015-01-07,1.184244
2015-01-08,1.179629
2015-01-09,1.184535
2015-01-12,1.183772
2015-01-13,1.177674
2015-01-14,1.179264
2015-01-15,1.163683
2015-01-16,1.157097
2015-01-19,1.16101
2015-01-20,1.155362
2015-01-21,1.16134
2015-01-22,1.136903
2015-01-23,1.120719
2015-01-26,1.124073
2015-01-27,1.138399
2015-01-28,1.129008
2015-01-29,1.132284
2015-01-30,1.129378
2015-02-02,1.134381
2015-02-03,1.148398
2015-02-04,1.134807
2015-02-05,1.148004
2015-02-06,1.131909
2015-02-09,1.132833
2015-02-10,1.132435
2015-02-11,1.133947
2015-02-12,1.140649
2015-02-13,1.139736
2015-02-16,1.135837
2015-02-17,1.141443
2015-02-18,1.140049
2015-02-19,1.137147
2015-02-20,1.138497
2015-02-23,1.133855
2015-02-24,1.134333
2015-02-25,1.136478
2015-02-26,1.120184
2015-02-27,1.120039
2015-03-02,1.118819
2015-03-03,1.118005
2015-03-04,1.108195
2015-03-05,1.103395
2015-03-06,1.084807
2015-03-09,1.08562
2015-03-10,1.070206
2015-03-11,1.055065
2015-03-12,1.063854
2015-03-13,1.049974
2015-03-16,1.057201
2015-03-17,1.060106
2015-03-18,1.086808
2015-03-19,1.066425
2015-03-20,1.08253
2015-03-23,1.095068
2015-03-24,1.09286
2015-03-25,1.09744
2015-03-26,1.088836
2015-03-27,1.08933
2015-03-30,1.083755
2015-03-31,1.07354
2015-04-01,1.07671
2015-04-02,1.088409
2015-04-03,1.097315
2015-04-06,1.092611
2015-04-07,1.08181
2015-04-08,1.0785
2015-04-09,1.066286
2015-04-10,1.06079
2015-04-13,1.0571
2015-04-14,1.065935
2015-04-15,1.06883
2015-04-16,1.076522
2015-04-17,1.081031
2015-04-20,1.074214
2015-04-21,1.074032
2015-04-22,1.072925
2015-04-23,1.082796
2015-04-24,1.087716
2015-04-27,1.089498
2015-04-28,1.098505
2015-04-29,1.11322
2015-04-30,1.12283
2015-05-01,1.120322
2015-05-04,1.115056
2015-05-05,1.118946
2015-05-06,1.135141
2015-05-07,1.12715
2015-05-08,1.120345
2015-05-11,1.115971
